time,US_unemployment_close,US_inflation_close,Index
1596240000,8.4,1.3,-0.5323704458335168
1598918400,7.8,1.4,-0.7210740090368494
1601510400,6.8,1.2,-0.65619525250498
1604188800,6.7,1.2,-0.5605619310483815
1606780800,6.7,1.4,-0.7558424900889423
1609459200,6.4,1.4,-0.7718698940988318
1612137600,6.2,1.7,-0.9644800823820346
1614556800,6.1,2.6,-0.9650250016571852
1617235200,6.1,4.2,-0.9133532640882672
1619827200,5.8,5.0,-0.7018931256039843
1622505600,5.9,5.4,-0.6211510195550846
1625097600,5.4,5.4,-0.6378542394346617
1627776000,5.1,5.3,-0.4271467880295638
1630454400,4.7,5.4,-0.3074234628366716
1633046400,4.5,6.2,-0.3751858267967609
1635724800,4.1,6.8,-0.5854824688429263
1638316800,3.9,7.0,-0.4121881724457435
1640995200,4.0,7.5,-0.3479721593982384
1643673600,3.8,7.9,-0.2915351273828571
1646092800,3.6,8.5,-0.1191926694759874
1648771200,3.7,8.3,-0.1043705465274704
1651363200,3.6,8.6,-0.3104523369407467
1654041600,3.6,9.1,-0.2109118165651478
1656633600,3.5,8.5,0.0589636534280257
1659312000,3.6,8.3,0.2593003645805002
1661990400,3.5,8.2,0.212898186663273
1664582400,3.6,7.7,0.3207462877718017
1667260800,3.6,7.1,0.4257124220810556
1669852800,3.5,6.5,0.4397355109390226
1672531200,3.4,6.4,0.389495033907248
1675209600,3.6,6.0,0.2689161007543507
1677628800,3.5,5.0,0.2655915963032468
1680307200,3.4,4.9,0.2597206047840076
1682899200,3.7,4.1,0.306908594528701
1685577600,3.6,3.0,0.2940356168771758
1688169600,3.5,3.2,0.2418016350084329
1690848000,3.8,3.7,0.1920617408063611
1693526400,3.8,3.7,0.1147254795213071
1696118400,3.8,3.2,0.3122626282099996
1698796800,3.7,3.1,0.3300153502054511
1701388800,3.7,3.4,0.4146758904295682
1704067200,3.7,3.1,0.6297073015953071
1706745600,3.9,3.2,0.5730245629028551
1709251200,3.8,3.5,0.5559014606368157
1711929600,3.9,3.4,0.5777137929539852
1714521600,4.0,3.3,0.6876481755113584
1717200000,4.1,3.0,0.6868862252118834
1719792000,4.3,2.9,0.7636813412756134
1722470400,4.2,2.5,0.8013314575609555
1725148800,4.1,2.4,0.8364022449666784
1727740800,4.1,2.6,1.0736688711598614
